id,source_file,equipo,modelo,tipo_documento,prioridad_fuente,decision_curaduria,idioma,estado_producto,motivo_decision,observaciones
1,agitador_presvac_ae500_manual_tecnico_y_de_mantenimiento_agitador_presvac_ae_500_a.md,Agitador Presvac AE500,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
2,bilirrubinometro_drager_jm105_checklist_bilirrubinometro_drager_jm_105.md,Bilirrubinómetro Dräger JM-105,,checklist,B,incluir,indeterminado,activo,Checklist útil como fuente complementaria.,
3,bilirrubinometro_drager_jm105_manual_de_usuario_bilirrubinometro_drager_jm_105.md,Bilirrubinómetro Dräger JM-105,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
4,bilirrubinometro_drager_jm105_manual_tecnico_bilirrubinometro_drager_jm_105_espanol.md,Bilirrubinómetro Dräger JM-105,,manual_tecnico,A,incluir,espanol,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
6,cabina_bioseguridad_manual_de_servicio_cabina_microbiologica_euroclone_safemate_ez_ing.md,Cabina de bioseguridad,,manual_tecnico,A,incluir,ingles,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
7,cama_electronica_manual_de_usuario_y_tecnico_cama_linet_eleganza_1.md,Cama electrónica,,manual_tecnico,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
8,cama_electronica_manual_tecnico_cama_pardo_hitech_act.md,Cama electrónica,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
9,cama_electronica_manual_tecnico_cama_pardo_komplet.md,Cama electrónica,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
10,camilla_de_hemodinamia_stille_q2_manual_tecnico_incubadora_medix_tr306.md,Incubadora Medix,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
11,desfibrilador_mindray_beneheart_manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.md,Desfibrilador Mindray BeneHeart,,manual_tecnico,A,incluir,ingles,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
12,dinan_af500_mtm_af_500_manual_tecnico_y_mantenimiento_v5_0_2020_02_27.md,Dinan AF500,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
13,dinan_af500_mu_af_500_dr_version_v05_manual_de_usuario_v1_0_2024_09_09.md,Dinan AF500,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
14,dinan_af500_mu_dr_console_af_500_manual_de_usuario_v1_0_2024_09_09.md,Dinan AF500,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
15,dinan_af500_mu_sm500_manual_de_usuario_v1_0_2024_09_09.md,Dinan AF500,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
16,drager_vn500_9066667_babyflow_es_finit.md,Respirador Dräger VN500,,sin_clasificar,B,incluir,espanol,activo,Documento operativo BabyFlow en español; útil como fuente complementaria del respirador/accesorio.,
17,drager_vn500_manual_usuario_vn500_es.md,Respirador Dräger VN500,,manual_usuario,B,incluir,espanol,activo,Manual de usuario útil como fuente operativa complementaria.,
25,draguer_respirador_draeger_vn500_manual_3_9054521_01_erg_ga_v_vn_ps500_batt_en.md,Respirador Dräger VN500,,sin_clasificar,B,incluir,ingles,activo,Documento técnico específico sobre batería/fuente; útil como complemento del respirador.,
27,draguer_respirador_draeger_vn500_manual_abreviaturas_y_simbolos_evita_v300_vn500.md,Respirador Dräger VN500,,sin_clasificar,B,incluir,indeterminado,activo,"Documento de abreviaturas y símbolos; útil como apoyo interpretativo, no como fuente principal.",
29,draguer_respirador_draeger_vn500_manual_servicio_entrar_en_servicio_y_copiar_log_errores_recarga_soft.md,Respirador Dräger VN500,,manual_tecnico,A,incluir,ingles,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
30,electrobisturi_dispo_8155_14_manual_kairos.md,Electrobisturí,,sin_clasificar,B,incluir,indeterminado,activo,Documento identificado como manual de equipo; se incluye como fuente complementaria.,
31,electrobisturi_leep_system_1000.md,Electrobisturí,,sin_clasificar,B,incluir,indeterminado,activo,Documento del sistema LEEP; se incluye como fuente complementaria hasta validación fina.,
32,electrobisturi_leep_user_manual.md,Electrobisturí,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
33,electrobisturi_minicomp_kairos_m_x_esu_service_manual_2_es_1.md,Electrobisturí,,manual_tecnico,A,incluir,espanol,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
34,electrobisturi_valleylab_force_fx_8c_electrosurgical_generator_service_manual.md,Electrobisturí,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
35,fresenius_4008_service_manual.md,Máquina de diálisis Fresenius 4008,,manual_tecnico,A,incluir,indeterminado,validado,,
36,incubadora_medix_manual_de_usuario_incubadora_medix_tr200.md,Incubadora Medix,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
37,incubadora_medix_manual_tecnico_incubadora_medix_natal_care_st_mx_lx.md,Incubadora Medix,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
38,incubadora_medix_manual_tecnico_incubadora_medix_tr306.md,Incubadora Medix,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
39,leica_rm2125_manual_de_usuario_microtomo_de_rotacion_leica_rm2125_rts.md,Micrótomo Leica RM2125,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
40,leica_tp1020_manual_de_servicio_procesador_de_tejidos_leica_tp_1020_ingles.md,Procesador Leica TP1020,,manual_tecnico,A,incluir,ingles,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
41,monitor_multiparametrico_epm_series_compact_monitor_service_manual_v1_0_en.md,Monitor multiparamétrico,,manual_servicio,A,incluir,ingles,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
42,monitor_multiparametrico_imec_service_manual_v4_0_en.md,Monitor multiparamétrico,,manual_servicio,A,incluir,ingles,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
43,monitor_multiparametrico_pm_9000_service_manual.md,Monitor multiparamétrico,,manual_servicio,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
44,rodantes_mac_gmm_hd_67_troubleshooting_equipos_rodantes_mac_gmm_v2.md,Rodantes MAC GMM,,troubleshooting,A,incluir,indeterminado,validado,,
45,sterrad_100_manual_de_servicio_esterilizadora_sterrad_100_ing.md,Esterilizadora Sterrad 100,,manual_tecnico,A,incluir,ingles,validado,,
47,tp_100_manual_tp_100_castellano_v2.md,TP100,,sin_clasificar,A,incluir,indeterminado,activo,Manual en castellano del TP100; fuente principal del equipo.,
48,tp_100_plano_electrico_tp_100new.md,TP100,,sin_clasificar,B,incluir,indeterminado,activo,Plano eléctrico; fuente técnica complementaria útil para soporte.,
49,ventilador_crossvent_ifu_globe_trotter_gt5400_crossvent_2i_mu21764.md,Ventilador Crossvent,,sin_clasificar,B,incluir,indeterminado,activo,IFU/manual operativo; fuente complementaria del ventilador Crossvent.,
50,ventilador_crossvent_manual_crossvent_3.md,Ventilador Crossvent,,sin_clasificar,B,incluir,indeterminado,activo,Manual del Crossvent 3; fuente complementaria.,
51,ventilador_crossvent_manual_de_servicio_crossvent_biomed_devices_crossvent_4.md,Ventilador Crossvent,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
53,ventilador_engstrom_manual_de_usuario_engstrom_carestation_anexo_es.md,Ventilador Engström,,manual_usuario,B,incluir,ingles,activo,Manual de usuario útil como fuente operativa complementaria.,
54,ventilador_engstrom_manual_de_usuario_engstrom_carestation_es.md,Ventilador Engström,,manual_usuario,B,incluir,ingles,activo,Manual de usuario útil como fuente operativa complementaria.,
55,ventilador_engstrom_manual_tecnico_ventilador_engstrom_espanol.md,Ventilador Engström,,manual_tecnico,A,incluir,ingles,validado,,
56,ventilador_engstrom_manual_tecnico_ventilador_ge_engstrom_aleman.md,Ventilador Engström,,manual_tecnico,A,incluir,ingles,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
57,ventilador_engstrom_ventilacion_no_invasiva.md,Ventilador Engström,,sin_clasificar,B,incluir,ingles,activo,Documento específico de ventilación no invasiva; fuente operativa complementaria del ventilador Engström.,
58,ventilador_leistung_luft3_5_nivel_3_terapia_fallas_frecuentes_fuga_1.md,Ventilador Leistung LUFT3,,troubleshooting,A,incluir,indeterminado,activo,"Documento de troubleshooting o fallas, útil para soporte técnico.",
59,ventilador_leistung_luft3_6_nivel_3_terapia_fallas_frecuentes_presion_1.md,Ventilador Leistung LUFT3,,troubleshooting,A,incluir,indeterminado,activo,"Documento de troubleshooting o fallas, útil para soporte técnico.",
60,ventilador_leistung_luft3_7_nivel_3_terapia_fallas_frecuentes_flujo_2.md,Ventilador Leistung LUFT3,,troubleshooting,A,incluir,indeterminado,activo,"Documento de troubleshooting o fallas, útil para soporte técnico.",
61,ventilador_leistung_luft3_l3apnmu_b_manual_de_usuario_luft3apn_ap_1.md,Ventilador Leistung LUFT3,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
62,ventilador_maquet_servo_i_maquet_servo_i_service_manual.md,Ventilador Maquet Servo-i,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
63,ventilador_maquet_servo_i_maquet_servo_i_service_manual_2_of_2.md,Ventilador Maquet Servo-i,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
64,ventilador_neumovent_manual_de_calibracion_neumovent_graph.md,Ventilador Neumovent GraphNet,,sin_clasificar,A,incluir,indeterminado,activo,Manual de calibración; fuente técnica principal para soporte.,
65,ventilador_neumovent_manual_de_usuario_neumovent_advance_ts_neo.md,Ventilador Neumovent GraphNet,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
66,ventilador_neumovent_manual_tecnico_nv_graph_rev_03.md,Ventilador Neumovent GraphNet,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
67,ventilador_neumovent_manual_tecnico_ventilador_neumovent_graphnet_neo_ts.md,Ventilador Neumovent GraphNet,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
68,ventilador_neumovent_manualtecnico_bebe_rev_01.md,Ventilador Neumovent GraphNet,,manual_tecnico,A,incluir,indeterminado,activo,Manual técnico; fuente principal o técnica del equipo.,
69,ventilador_neumovent_pdfcoffee_com_manual_tecnico_neumovent_advance_neo_ts_2_pdf_free.md,Ventilador Neumovent GraphNet,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
71,ventilador_neumovent_tecme_graphnet_ventilator_service_manual_es.md,Ventilador Neumovent GraphNet,,manual_tecnico,A,incluir,espanol,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
73,ventilador_newport_ht70_newport_ht_70_ventilator_service_manual.md,Ventilador Newport HT70,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
