equipo,query,source_file,page,match,observacion
Respirador Drager VN500,Que informacion contiene el manual del VN500?,drager_vn500_manual_usuario_vn500_es.pdf,85,SI,
Respirador Drager VN500,Que informacion contiene el manual del VN500?,drager_vn500_manual_usuario_vn500_es.pdf,88,SI,
Respirador Drager VN500,Que informacion contiene el manual del VN500?,drager_vn500_manual_usuario_vn500_es.pdf,95,SI,
Respirador Drager VN500,Que informacion contiene el manual del VN500?,drager_vn500_manual_usuario_vn500_es.pdf,100,SI,
Esterilizadora Sterrad 100,Que informacion contiene el manual del Sterrad 100?,sterrad_100_manual_de_servicio_esterilizadora_sterrad_100_ing.pdf,33,SI,
Esterilizadora Sterrad 100,Que informacion contiene el manual del Sterrad 100?,sterrad_100_manual_de_servicio_esterilizadora_sterrad_100_ing.pdf,285,SI,
Esterilizadora Sterrad 100,Que informacion contiene el manual del Sterrad 100?,sterrad_100_manual_de_servicio_esterilizadora_sterrad_100_ing.pdf,286,SI,
Esterilizadora Sterrad 100,Que informacion contiene el manual del Sterrad 100?,sterrad_100_manual_de_servicio_esterilizadora_sterrad_100_ing.pdf,287,SI,
Maquina de dialisis Fresenius 4008,Que informacion contiene el manual de la Fresenius 4008?,fresenius_4008_service_manual.pdf,2,SI,
Maquina de dialisis Fresenius 4008,Que informacion contiene el manual de la Fresenius 4008?,fresenius_4008_service_manual.pdf,577,SI,
Maquina de dialisis Fresenius 4008,Que informacion contiene el manual de la Fresenius 4008?,fresenius_4008_service_manual.pdf,1,SI,
Maquina de dialisis Fresenius 4008,Que informacion contiene el manual de la Fresenius 4008?,fresenius_4008_service_manual.pdf,561,SI,
Procesador Leica TP1020,Que informacion contiene el manual del Leica TP1020?,leica_tp1020_manual_de_servicio_procesador_de_tejidos_leica_tp_1020_ingles.pdf,253,SI,
Procesador Leica TP1020,Que informacion contiene el manual del Leica TP1020?,leica_tp1020_manual_de_servicio_procesador_de_tejidos_leica_tp_1020_ingles.pdf,251,SI,
Procesador Leica TP1020,Que informacion contiene el manual del Leica TP1020?,leica_tp1020_manual_de_servicio_procesador_de_tejidos_leica_tp_1020_ingles.pdf,254,SI,
Procesador Leica TP1020,Que informacion contiene el manual del Leica TP1020?,leica_tp1020_manual_de_servicio_procesador_de_tejidos_leica_tp_1020_ingles.pdf,7,SI,
Desfibrilador Mindray BeneHeart D3,Que informacion contiene el manual del desfibrilador BeneHeart D3?,desfibrilador_mindray_beneheart_manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.pdf,3,SI,
Desfibrilador Mindray BeneHeart D3,Que informacion contiene el manual del desfibrilador BeneHeart D3?,desfibrilador_mindray_beneheart_manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.pdf,4,SI,
Desfibrilador Mindray BeneHeart D3,Que informacion contiene el manual del desfibrilador BeneHeart D3?,desfibrilador_mindray_beneheart_manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.pdf,95,SI,
Desfibrilador Mindray BeneHeart D3,Que informacion contiene el manual del desfibrilador BeneHeart D3?,desfibrilador_mindray_beneheart_manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.pdf,79,SI,
Bilirrubinometro Drager JM-105,Que informacion contiene el manual del bilirrubinometro JM-105?,bilirrubinometro_drager_jm105_manual_de_usuario_bilirrubinometro_drager_jm_105.pdf,120,SI,
Bilirrubinometro Drager JM-105,Que informacion contiene el manual del bilirrubinometro JM-105?,bilirrubinometro_drager_jm105_manual_de_usuario_bilirrubinometro_drager_jm_105.pdf,121,SI,
Bilirrubinometro Drager JM-105,Que informacion contiene el manual del bilirrubinometro JM-105?,bilirrubinometro_drager_jm105_manual_de_usuario_bilirrubinometro_drager_jm_105.pdf,115,SI,
Bilirrubinometro Drager JM-105,Que informacion contiene el manual del bilirrubinometro JM-105?,bilirrubinometro_drager_jm105_manual_de_usuario_bilirrubinometro_drager_jm_105.pdf,6,SI,
Incubadora Medix,Que informacion contiene el manual de la incubadora Medix?,incubadora_medix_manual_de_usuario_incubadora_medix_tr200.pdf,42,SI,
Incubadora Medix,Que informacion contiene el manual de la incubadora Medix?,incubadora_medix_manual_tecnico_incubadora_medix_natal_care_st_mx_lx.pdf,38,SI,
Incubadora Medix,Que informacion contiene el manual de la incubadora Medix?,incubadora_medix_manual_tecnico_incubadora_medix_natal_care_st_mx_lx.pdf,9,SI,
Incubadora Medix,Que informacion contiene el manual de la incubadora Medix?,incubadora_medix_manual_de_usuario_incubadora_medix_tr200.pdf,11,SI,
Ventilador Neumovent GraphNet,Que informacion contiene el manual del Neumovent GraphNet?,ventilador_neumovent_manual_de_usuario_neumovent_advance_ts_neo.pdf,4,SI,
Ventilador Neumovent GraphNet,Que informacion contiene el manual del Neumovent GraphNet?,ventilador_neumovent_pdfcoffee_com_manual_tecnico_neumovent_advance_neo_ts_2_pdf_free.pdf,4,SI,
Ventilador Neumovent GraphNet,Que informacion contiene el manual del Neumovent GraphNet?,ventilador_neumovent_pdfcoffee_com_manual_tecnico_neumovent_advance_neo_ts_2_pdf_free.pdf,29,SI,
Ventilador Neumovent GraphNet,Que informacion contiene el manual del Neumovent GraphNet?,ventilador_neumovent_manual_tecnico_ventilador_neumovent_graphnet_neo_ts.pdf,2,SI,
Ventilador Maquet Servo-i,Que informacion contiene el manual del Maquet Servo-i?,ventilador_maquet_servo_i_maquet_servo_i_service_manual_2_of_2.pdf,5,SI,
Ventilador Maquet Servo-i,Que informacion contiene el manual del Maquet Servo-i?,ventilador_maquet_servo_i_maquet_servo_i_service_manual_2_of_2.pdf,9,SI,
Ventilador Maquet Servo-i,Que informacion contiene el manual del Maquet Servo-i?,ventilador_maquet_servo_i_maquet_servo_i_service_manual_2_of_2.pdf,19,SI,
Ventilador Maquet Servo-i,Que informacion contiene el manual del Maquet Servo-i?,ventilador_maquet_servo_i_maquet_servo_i_service_manual_2_of_2.pdf,29,SI,
Ventilador Engstrom,Que informacion contiene el manual del ventilador Engstrom?,ventilador_engstrom_manual_de_usuario_engstrom_carestation_es.pdf,26,SI,
Ventilador Engstrom,Que informacion contiene el manual del ventilador Engstrom?,ventilador_engstrom_manual_de_usuario_engstrom_carestation_es.pdf,16,SI,
Ventilador Engstrom,Que informacion contiene el manual del ventilador Engstrom?,ventilador_engstrom_manual_tecnico_ventilador_engstrom_espanol.pdf,42,SI,
Ventilador Engstrom,Que informacion contiene el manual del ventilador Engstrom?,ventilador_engstrom_manual_tecnico_ventilador_engstrom_espanol.pdf,16,SI,
